word,meaning,word_type,last_sound,can_combine
ಅಪೇಕ್ಷಣೀಯ,Desirable,prefix,ಯ,yes
ನೆಲೆಸಿ,settle down,noun,ಿ,no
ಮೂಲಸಾಧನಗಳು,resources,noun,ು,no
ಸಂಪಾದಿತ,Edited,prefix,ತ,yes
ಕೇಂದ್ರೀಕೃತವಾಗಲಾರವು,Cannot be concentrated,noun,ು,no
ಗಣಿಗಳ,of mines,noun,ಳ,no
ಸಂಪರ್ಕ,contact,prefix,ಕ,yes
ಕಬ್ಬಿಣ,iron,noun,ಣ,yes
ಚರ್ಚೆ,discussion,noun,ೆ,no
ಹಿಂದೆಯೇ,in the past,noun,ೇ,no
ಸರಿಪಡಿಸಲು,to fix,noun,ು,no
ಮಾಹಿತಿ,Information,noun,ಿ,no
ಉಲ್ಲೇಖಿಸಿ,refer to,noun,ಿ,no
ಸಣ್ಣ,small,noun,ಣ,yes
ಆರ್,R,noun,್,no
ಮಾಡು,do,noun,ು,no
ಗಳು,s,noun,ು,no
ಮರೆ,hide,noun,ೆ,no
ಮಹಾಮುನಿಗಳನ್ನು,Great sages,prefix,ು,yes
ಹುಟ್ಟುವ,to be born,noun,ವ,yes
ಬ್ರಹ್ಮಗಿರಿ,celibacy,noun,ಿ,no
ಹೊಸ,New,noun,ಸ,no
ಕವೇರ,Kavera,noun,ರ,yes
ಹೇಳಿಕೊಂಡಳು,She said,noun,ು,no
ಚಳಿಗಾಲ,winter,noun,ಲ,yes
ಪಲ್ಲೆ,Palle,noun,ೆ,no
ಆದರೆ,But,noun,ೆ,no
ಜನಸಂಖ್ಯೆ,Population,noun,ೆ,no
ಮಳೆ,the rain,noun,ೆ,no
ಶೇಖರವಾದರೆ,If accumulated,noun,ೆ,no
ಬಳಸಿಕೊಳ್ಳುತ್ತವೆ,use,noun,ೆ,no
ಬಂದು,come,noun,ು,no
ಆರೋಗ್ಯ,health,noun,ಯ,yes
ಪಿತ್ತರಸ,Bile,noun,ಸ,no
ತೊಗಟೆ,bark,noun,ೆ,no
ಸಾಲುಗಳ,of lines,noun,ಳ,no
ಸನ್ಮಾನ,an honor,noun,ನ,yes
ಚಿತ್ರಗಳಿಗೆ,For pictures,noun,ೆ,no
ಹಾಡೊಂದನ್ನು,A song,noun,ು,no
ಭಾಗವತರು,Participant,noun,ು,no
ಜೀವಕಣ,a living cell,noun,ಣ,yes
ಪ್ರಾಣಿಗಳು,Animals,prefix,ು,yes
ರೆಗ್ಯುಲೇಟಿವ್,Regulatory,noun,್,no
ಉಪಯೋಗಿಸಿಕೊಂಡು,By using,prefix,ು,yes
ಬೆಳೆಯುತ್ತದೆ,grows up,noun,ೆ,no
ಕಳೆದುಕೊಂಡರೂ,Even if lost,noun,ೂ,no
ಕೊಳ್ಳಬೇಕು,Must buy,noun,ು,no
ಬಹುದು,can,noun,ು,no
ಜೀರಿಗೆ,cumin,noun,ೆ,no
ನೀರು,water,noun,ು,no
ವಿವರಣೆ,Description,prefix,ೆ,yes
ಸಿಪ್ಪೆ,Peel,noun,ೆ,no
ಉತ್ತಮಗೊಳಿಸುವಲ್ಲಿ,In optimizing,noun,ಿ,no
ಹೆಚ್ಚಿನ,more,noun,ನ,yes
ಯೋಜನೆಯನ್ನು,the plan,noun,ು,no
ಹಾರ್ಡ್,Hard,noun,್,no
ವ್ಯಾಟ್ನಬೇ,Why not?,noun,ೇ,no
ನೆರವಿನ,of assistance,noun,ನ,yes
ಚಿಕಿತ್ಸೆ,treatment,noun,ೆ,no
ವೃತ್ತಿಯಾಗಿ,as a profession,noun,ಿ,no
ಹತ್ತಿರವಿರುವ,nearby,noun,ವ,yes
ವೀಲ್,Wheel,noun,್,no
ಆರಾಧಿಸಿದ,adored,noun,ದ,yes
ನಟಿ,actress,noun,ಿ,no
ಪ್ರಶಸ್ತಿ,award,prefix,ಿ,yes
ಆಕಾಂಕ್ಷಾ,Aspiration,noun,ಾ,no
ನೋಡುಗರ,of the seers,noun,ರ,yes
ವಿವಾದ,dispute,noun,ದ,yes
ಪ್ರಧಾನಿ,Prime Minister,prefix,ಿ,yes
ಕ್ರೆಸಾಲ್,Cresol,noun,್,no
ಟೂತ್,Tooth,noun,್,no
ಸ್ವಚ್ಛವಾಗಿಟ್ಟಿರುವುದು,Keeping it clean,noun,ು,no
